filepath,filesize,checksum,dataset
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-23(1).JPG,2921921.0,56e3f6c17dab815aef72ed6a19c881d6d5ff0413f5494076cf561f58cc9ff680,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-23(2).JPG,2922822.0,5782948de0921855f999dbf88c29bf4cd185df6edd4687a25484559078e6f2d7,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-24(3).JPG,2921539.0,221208d0d4a33a0b42b6b9c156695b897846ec9f8550471d1f98ce1f54eb16e5,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-24(4).JPG,2922437.0,10afe51feac127d107ba4f66d6d190a9e39bbc7bad7af0e6a5f740dfe13a2534,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-25(5).JPG,2925531.0,eea9639f4524268870a6f8237789b7ca7c5ab5be2fc3062ff4f199d3deb4fcb4,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-17(1).JPG,227511.0,33f3815a77f30c92b11ec0ba33cb7d2cbc258e8b529d0a52fce4d5237abe7678,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-18(2).JPG,229014.0,e68bf0c795352f8240ec757cf32a22c8cacaee20fb9e71dc959efdefe94db981,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-18(3).JPG,229620.0,574f59df8af6b52d0fe453aa0a98bda5c5d8eae0db8fafdc35dc8527d104b89c,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-19(4).JPG,229092.0,e5bb2223a7cb9b39949d1de7d8af55cab88b127416cce07038fc0051c87f3247,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-19(5).JPG,229129.0,bea9505a36891c4bb8b565f00d9bb13d4dd8827687a3342cddf597525e3ccd99,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-20(6).JPG,226793.0,5f55c62e14874873846cfab030b28735e60f38403618def49b13faa0836ad73f,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-21(7).JPG,228999.0,6b8df73f146829f00e93f8f3cff312091fc5f742dd7026959396ebc223d9b933,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-22(8).JPG,230090.0,b854aa8abf7c128f06389da1866b600126645dbcf61f2db26c59758d464038b5,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-22(9).JPG,230351.0,57b15fef89a5947228f8038f096e84b497e6bca93def202d415c27d30b3b5d2d,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-23(10).JPG,231126.0,f7915e10962ffe216bb631b055188974fb2a3dc6699baa77bb41712c03df8f6a,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-26(11).JPG,227265.0,cd1d918d8304f9a69ac5c1bb6c1981e8e4f73c55dd42e0c34dfc60938a7cb70f,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-26(12).JPG,229644.0,0434f0313e89988381855cb7f41a5d63e408a6afeefe8bf51240b9ec08a05bdb,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-27(13).JPG,229155.0,3f0585d9b8c80ffd44646f099dc2877934f3f07f61352a6fdf2c5c42f4c9f116,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-27(14).JPG,229345.0,a09b1a3af569c61b4d1ab727af7435e1c4d877aa7d32a24195bec3cc364431d7,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-28(15).JPG,229030.0,c60180ba1be488137af9c99ae3d19a2ddf1eba9248748b99c9cf16864beaf631,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-31(16).JPG,229516.0,ba814a661ce3d3d953042158f16ebd25995bbc511ea1ee0332d52b9883c94e65,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-31(17).JPG,227490.0,4781d28e0fe2ce40eed6eea23b1dad6ad0f3fdb92d5c23459a706d22617996e8,wolf
