filepath,filesize,checksum,dataset
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-23(1).JPG,2921921.0,56e3f6c17dab815aef72ed6a19c881d6d5ff0413f5494076cf561f58cc9ff680,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-23(2).JPG,2922822.0,5782948de0921855f999dbf88c29bf4cd185df6edd4687a25484559078e6f2d7,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-24(3).JPG,2921539.0,221208d0d4a33a0b42b6b9c156695b897846ec9f8550471d1f98ce1f54eb16e5,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-24(4).JPG,2922437.0,10afe51feac127d107ba4f66d6d190a9e39bbc7bad7af0e6a5f740dfe13a2534,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-02__19-07-25(5).JPG,2925531.0,eea9639f4524268870a6f8237789b7ca7c5ab5be2fc3062ff4f199d3deb4fcb4,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-43-23(1).JPG,162808.0,3697b5f2ca1184bc8dbe661724802be922f0d57cf591b1b37b290522cb9fc31f,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-43-23(2).JPG,162820.0,ae3070a9a0a8c6a2ed82da484c60afdd1692c02fbd7c1245fe8b19460acde6f4,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-43-24(3).JPG,162605.0,f32e7f89e1cbfd0318a21147acc9bb69d529724794674ce45f883b45eb92516a,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-43-24(4).JPG,162543.0,89574466ce568bee43f2664b3d3f443051ad575be6a73c76009339a14adc08d2,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-43-25(5).JPG,162546.0,d0b17b35b6d8c5fb5056d9281236a06a03de9d23304fe9eb4d7b622d75cd4876,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-43-28(6).JPG,163456.0,040ca457de985fd0b18c00f9a8622dacc7090d7d3862d304acccdcfd94b5e6dd,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-43-28(7).JPG,163418.0,960a0ffe64ef057581fbfdd4b3f52e7b8ddc3ff4df0efa5736ef5bec31bbf6d1,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-18(1).JPG,164817.0,0a5d26311237b19b7cc99a4352fa68c70dde9ee9e8ae31866ee599a55ad46485,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-19(2).JPG,165532.0,f3acf4d18f2da97dc99696026404b17d9a620c61692d3041787952256792f2da,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-19(3).JPG,165294.0,ee2949fea07d8164e5fbdbbfd07e69855491c222db937d5451edb3e080962994,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-20(4).JPG,165634.0,9281cb8656981455f47fde78c3787a7959cb949f41e7d9ff18fd01387a7f61bf,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-21(5).JPG,165265.0,6fd35970584aa114b990f5601293fc77150e6fde4adb0d6ab4881add60601e2e,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-23(6).JPG,165305.0,59ee16afaf1dfaa76d4886b80f6a129ae7e9f302da6a01356b2a413ce46d3c98,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-23(7).JPG,165564.0,baae062fcd31ce8140a15aa835d7a1fdea06e159a39d2213e96a71b008be8195,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-24(8).JPG,165778.0,f5be009aa1efcedc17433c7e0f1d6233fd0d48b0172aa9f6d872c50e3217896e,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-24(9).JPG,165899.0,0f36ce15a0f1e9146e6089afc4064858a98bdb2b12eca0ef45880d57a43308cf,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-13__23-45-25(10).JPG,165456.0,bfee4c2d38ffc5872b2e9d0872d4daa1a0c0fc6633d92c6130b414907aa7da18,wolf
